729C011	T	Start Streaming
49DE034	S	C01,P02,EXH,ET 41.65 sec,T 3.85 sec,P 0.000019 bar
19DF034	S	C01,P02,EXH,ET 41.70 sec,T 3.80 sec,P 0.000017 bar
D0E0034	S	C01,P02,EXH,ET 41.75 sec,T 3.75 sec,P 0.000014 bar
82E1034	S	C01,P02,EXH,ET 41.80 sec,T 3.70 sec,P 0.000011 bar
22E2034	S	C01,P02,EXH,ET 41.85 sec,T 3.65 sec,P 0.000010 bar
61E3034	S	C01,P02,EXH,ET 41.90 sec,T 3.60 sec,P 0.000005 bar
21E4034	S	C01,P02,EXH,ET 41.95 sec,T 3.55 sec,P 0.000005 bar
18E5034	S	C01,P02,EXH,ET 42.00 sec,T 3.50 sec,P 0.000004 bar
DAE6034	S	C01,P02,EXH,ET 42.05 sec,T 3.45 sec,P 0.000004 bar
16E7034	S	C01,P02,EXH,ET 42.10 sec,T 3.40 sec,P 0.000002 bar
1EE8034	S	C01,P02,EXH,ET 42.15 sec,T 3.35 sec,P 0.000004 bar
91E9034	S	C01,P02,EXH,ET 42.20 sec,T 3.30 sec,P 0.000004 bar
81EA034	S	C01,P02,EXH,ET 42.25 sec,T 3.25 sec,P 0.000004 bar
C8EB034	S	C01,P02,EXH,ET 42.30 sec,T 3.20 sec,P 0.000002 bar
A6EC034	S	C01,P02,EXH,ET 42.35 sec,T 3.15 sec,P 0.000001 bar
B1ED034	S	C01,P02,EXH,ET 42.40 sec,T 3.10 sec,P 0.000001 bar
F6EE034	S	C01,P02,EXH,ET 42.45 sec,T 3.05 sec,P 0.000001 bar
74EF034	S	C01,P02,EXH,ET 42.50 sec,T 3.00 sec,P -0.00000 bar
44F0034	S	C01,P02,EXH,ET 42.55 sec,T 2.95 sec,P 0.000000 bar
0FF1034	S	C01,P02,EXH,ET 42.60 sec,T 2.90 sec,P 0.000002 bar
86F2034	S	C01,P02,EXH,ET 42.65 sec,T 2.85 sec,P 0.000004 bar
4AF3034	S	C01,P02,EXH,ET 42.70 sec,T 2.80 sec,P 0.000002 bar
21F4034	S	C01,P02,EXH,ET 42.75 sec,T 2.75 sec,P 0.000002 bar
D5F5034	S	C01,P02,EXH,ET 42.80 sec,T 2.70 sec,P 0.000004 bar
5CF6034	S	C01,P02,EXH,ET 42.85 sec,T 2.65 sec,P 0.000002 bar
90F7034	S	C01,P02,EXH,ET 42.90 sec,T 2.60 sec,P 0.000004 bar
CAF8034	S	C01,P02,EXH,ET 42.95 sec,T 2.55 sec,P 0.000004 bar
D4F9034	S	C01,P02,EXH,ET 43.00 sec,T 2.50 sec,P 0.000001 bar
C4FA034	S	C01,P02,EXH,ET 43.05 sec,T 2.45 sec,P 0.000001 bar
A4FB034	S	C01,P02,EXH,ET 43.10 sec,T 2.40 sec,P 0.000000 bar
97FC034	S	C01,P02,EXH,ET 43.15 sec,T 2.35 sec,P -0.00000 bar
90FD034	S	C01,P02,EXH,ET 43.20 sec,T 2.30 sec,P -0.00000 bar
D7FE034	S	C01,P02,EXH,ET 43.25 sec,T 2.25 sec,P -0.00000 bar
D5FF034	S	C01,P02,EXH,ET 43.30 sec,T 2.20 sec,P -0.00000 bar
C400034	S	C01,P02,EXH,ET 43.35 sec,T 2.15 sec,P -0.00000 bar
5B01034	S	C01,P02,EXH,ET 43.40 sec,T 2.10 sec,P -0.00000 bar
9902034	S	C01,P02,EXH,ET 43.45 sec,T 2.05 sec,P -0.00000 bar
1E03034	S	C01,P02,EXH,ET 43.50 sec,T 2.00 sec,P -0.00000 bar
2F04034	S	C01,P02,EXH,ET 43.55 sec,T 1.95 sec,P -0.00000 bar
A005034	S	C01,P02,EXH,ET 43.60 sec,T 1.90 sec,P -0.00000 bar
6206034	S	C01,P02,EXH,ET 43.65 sec,T 1.85 sec,P -0.00000 bar
8707034	S	C01,P02,EXH,ET 43.70 sec,T 1.80 sec,P -0.00001 bar
F608034	S	C01,P02,EXH,ET 43.75 sec,T 1.75 sec,P -0.00001 bar
4909034	S	C01,P02,EXH,ET 43.80 sec,T 1.70 sec,P -0.00001 bar
590A034	S	C01,P02,EXH,ET 43.85 sec,T 1.65 sec,P -0.00001 bar
5B0B034	S	C01,P02,EXH,ET 43.90 sec,T 1.60 sec,P -0.00001 bar
930C034	S	C01,P02,EXH,ET 43.95 sec,T 1.55 sec,P -0.00001 bar
170D034	S	C01,P02,EXH,ET 44.00 sec,T 1.50 sec,P -0.00001 bar
500E034	S	C01,P02,EXH,ET 44.05 sec,T 1.45 sec,P -0.00001 bar
520F034	S	C01,P02,EXH,ET 44.10 sec,T 1.40 sec,P -0.00001 bar
0F10034	S	C01,P02,EXH,ET 44.15 sec,T 1.35 sec,P -0.00001 bar
8011034	S	C01,P02,EXH,ET 44.20 sec,T 1.30 sec,P -0.00001 bar
4212034	S	C01,P02,EXH,ET 44.25 sec,T 1.25 sec,P -0.00001 bar
C513034	S	C01,P02,EXH,ET 44.30 sec,T 1.20 sec,P -0.00001 bar
8514034	S	C01,P02,EXH,ET 44.35 sec,T 1.15 sec,P -0.00001 bar
1A15034	S	C01,P02,EXH,ET 44.40 sec,T 1.10 sec,P -0.00001 bar
D816034	S	C01,P02,EXH,ET 44.45 sec,T 1.05 sec,P -0.00001 bar
5F17034	S	C01,P02,EXH,ET 44.50 sec,T 1.00 sec,P -0.00001 bar
0118034	S	C01,P02,EXH,ET 44.55 sec,T 0.95 sec,P -0.00001 bar
8E19034	S	C01,P02,EXH,ET 44.60 sec,T 0.90 sec,P -0.00001 bar
9E1A034	S	C01,P02,EXH,ET 44.65 sec,T 0.85 sec,P -0.00001 bar
9C1B034	S	C01,P02,EXH,ET 44.70 sec,T 0.80 sec,P -0.00001 bar
7F1C034	S	C01,P02,EXH,ET 44.75 sec,T 0.75 sec,P -0.00001 bar
481D034	S	C01,P02,EXH,ET 44.80 sec,T 0.70 sec,P -0.00001 bar
0F1E034	S	C01,P02,EXH,ET 44.85 sec,T 0.65 sec,P -0.00001 bar
0D1F034	S	C01,P02,EXH,ET 44.90 sec,T 0.60 sec,P -0.00001 bar
DB20034	S	C01,P02,EXH,ET 44.95 sec,T 0.55 sec,P -0.00001 bar
2821034	S	C01,P02,EXH,ET 45.00 sec,T 0.50 sec,P -0.00001 bar
EA22034	S	C01,P02,EXH,ET 45.05 sec,T 0.45 sec,P -0.00001 bar
6D23034	S	C01,P02,EXH,ET 45.10 sec,T 0.40 sec,P -0.00001 bar
3424034	S	C01,P02,EXH,ET 45.15 sec,T 0.35 sec,P -0.00001 bar
BB25034	S	C01,P02,EXH,ET 45.20 sec,T 0.30 sec,P -0.00001 bar
7926034	S	C01,P02,EXH,ET 45.25 sec,T 0.25 sec,P -0.00001 bar
FE27034	S	C01,P02,EXH,ET 45.30 sec,T 0.20 sec,P -0.00001 bar
A428034	S	C01,P02,EXH,ET 45.35 sec,T 0.15 sec,P -0.00001 bar
3B29034	S	C01,P02,EXH,ET 45.40 sec,T 0.10 sec,P -0.00001 bar
2B2A034	S	C01,P02,EXH,ET 45.45 sec,T 0.05 sec,P -0.00001 bar
252B010	X	Stop Streaming
F02C0D2	R	C01 P02 13:57:59.700 05/07/24 0000003917 A  -  DPD   P  DL   51.254360 dPa    Pt    3.006960 bar    EDC   0.000000 dPa    LLL -6894.7583 dPa    HLL 6894.75830 dPa    FPR   3.007932 bar    LOF   0.000000 dPa  
442D024	S	C01,P02,AR,ET 0.00 sec,T 60.00 sec
2D2E014	U	Autorun: 5 cycles 
382F024	S	C01,P02,AR,ET 0.05 sec,T 59.95 sec
6C30024	S	C01,P02,AR,ET 0.10 sec,T 59.90 sec
7D31024	S	C01,P02,AR,ET 0.15 sec,T 59.85 sec
FA32024	S	C01,P02,AR,ET 0.20 sec,T 59.80 sec
5233024	S	C01,P02,AR,ET 0.25 sec,T 59.75 sec
0434024	S	C01,P02,AR,ET 0.30 sec,T 59.70 sec
1535024	S	C01,P02,AR,ET 0.35 sec,T 59.65 sec
3A36024	S	C01,P02,AR,ET 0.40 sec,T 59.60 sec
7937024	S	C01,P02,AR,ET 0.45 sec,T 59.55 sec
2238024	S	C01,P02,AR,ET 0.50 sec,T 59.50 sec
3339024	S	C01,P02,AR,ET 0.55 sec,T 59.45 sec
DD3A024	S	C01,P02,AR,ET 0.60 sec,T 59.40 sec
FB3B024	S	C01,P02,AR,ET 0.65 sec,T 59.35 sec
E93C024	S	C01,P02,AR,ET 0.70 sec,T 59.30 sec
BC3D024	S	C01,P02,AR,ET 0.75 sec,T 59.25 sec
053E024	S	C01,P02,AR,ET 0.80 sec,T 59.20 sec
873F024	S	C01,P02,AR,ET 0.85 sec,T 59.15 sec
0840024	S	C01,P02,AR,ET 0.90 sec,T 59.10 sec
1941024	S	C01,P02,AR,ET 0.95 sec,T 59.05 sec
B142024	S	C01,P02,AR,ET 1.00 sec,T 59.00 sec
FC43024	S	C01,P02,AR,ET 1.05 sec,T 58.95 sec
AA44024	S	C01,P02,AR,ET 1.10 sec,T 58.90 sec
BB45024	S	C01,P02,AR,ET 1.15 sec,T 58.85 sec
3C46024	S	C01,P02,AR,ET 1.20 sec,T 58.80 sec
9447024	S	C01,P02,AR,ET 1.25 sec,T 58.75 sec
CF48024	S	C01,P02,AR,ET 1.30 sec,T 58.70 sec
DE49024	S	C01,P02,AR,ET 1.35 sec,T 58.65 sec
984A024	S	C01,P02,AR,ET 1.40 sec,T 58.60 sec
1A4B024	S	C01,P02,AR,ET 1.45 sec,T 58.55 sec
084C024	S	C01,P02,AR,ET 1.50 sec,T 58.50 sec
5D4D024	S	C01,P02,AR,ET 1.55 sec,T 58.45 sec
1B4E024	S	C01,P02,AR,ET 1.60 sec,T 58.40 sec
3D4F024	S	C01,P02,AR,ET 1.65 sec,T 58.35 sec
6950024	S	C01,P02,AR,ET 1.70 sec,T 58.30 sec
7851024	S	C01,P02,AR,ET 1.75 sec,T 58.25 sec
0052024	S	C01,P02,AR,ET 1.80 sec,T 58.20 sec
4353024	S	C01,P02,AR,ET 1.85 sec,T 58.15 sec
1554024	S	C01,P02,AR,ET 1.90 sec,T 58.10 sec
0455024	S	C01,P02,AR,ET 1.95 sec,T 58.05 sec
F456024	S	C01,P02,AR,ET 2.00 sec,T 58.00 sec
3E5700A	U	Cleared 
E158024	S	C01,P02,AR,ET 2.05 sec,T 57.95 sec
F359024	S	C01,P02,AR,ET 2.10 sec,T 57.90 sec
4A5A024	S	C01,P02,AR,ET 2.15 sec,T 57.85 sec
CD5B024	S	C01,P02,AR,ET 2.20 sec,T 57.80 sec
655C024	S	C01,P02,AR,ET 2.25 sec,T 57.75 sec
335D024	S	C01,P02,AR,ET 2.30 sec,T 57.70 sec
225E024	S	C01,P02,AR,ET 2.35 sec,T 57.65 sec
0D5F024	S	C01,P02,AR,ET 2.40 sec,T 57.60 sec
4160024	S	C01,P02,AR,ET 2.45 sec,T 57.55 sec
5361024	S	C01,P02,AR,ET 2.50 sec,T 57.50 sec
8362024	S	C01,P02,AR,ET 2.55 sec,T 57.45 sec
C563024	S	C01,P02,AR,ET 2.60 sec,T 57.40 sec
6664024	S	C01,P02,AR,ET 2.65 sec,T 57.35 sec
7465024	S	C01,P02,AR,ET 2.70 sec,T 57.30 sec
A466024	S	C01,P02,AR,ET 2.75 sec,T 57.25 sec
1D67024	S	C01,P02,AR,ET 2.80 sec,T 57.20 sec
1768024	S	C01,P02,AR,ET 2.85 sec,T 57.15 sec
0569024	S	C01,P02,AR,ET 2.90 sec,T 57.10 sec
BC6A024	S	C01,P02,AR,ET 2.95 sec,T 57.05 sec
146B024	S	C01,P02,AR,ET 3.00 sec,T 57.00 sec
596C024	S	C01,P02,AR,ET 3.05 sec,T 56.95 sec
0F6D024	S	C01,P02,AR,ET 3.10 sec,T 56.90 sec
1E6E024	S	C01,P02,AR,ET 3.15 sec,T 56.85 sec
996F024	S	C01,P02,AR,ET 3.20 sec,T 56.80 sec
7770024	S	C01,P02,AR,ET 3.25 sec,T 56.75 sec
6571024	S	C01,P02,AR,ET 3.30 sec,T 56.70 sec
B572024	S	C01,P02,AR,ET 3.35 sec,T 56.65 sec
5B73024	S	C01,P02,AR,ET 3.40 sec,T 56.60 sec
5C74024	S	C01,P02,AR,ET 3.45 sec,T 56.55 sec
4E75024	S	C01,P02,AR,ET 3.50 sec,T 56.50 sec
9E76024	S	C01,P02,AR,ET 3.55 sec,T 56.45 sec
D877024	S	C01,P02,AR,ET 3.60 sec,T 56.40 sec
7678024	S	C01,P02,AR,ET 3.65 sec,T 56.35 sec
6479024	S	C01,P02,AR,ET 3.70 sec,T 56.30 sec
DD7A024	S	C01,P02,AR,ET 3.75 sec,T 56.25 sec
A57B024	S	C01,P02,AR,ET 3.80 sec,T 56.20 sec
E67C024	S	C01,P02,AR,ET 3.85 sec,T 56.15 sec
B07D024	S	C01,P02,AR,ET 3.90 sec,T 56.10 sec
A17E024	S	C01,P02,AR,ET 3.95 sec,T 56.05 sec
E17F024	S	C01,P02,AR,ET 4.00 sec,T 56.00 sec
3480024	S	C01,P02,AR,ET 4.05 sec,T 55.95 sec
2681024	S	C01,P02,AR,ET 4.10 sec,T 55.90 sec
F682024	S	C01,P02,AR,ET 4.15 sec,T 55.85 sec
B083024	S	C01,P02,AR,ET 4.20 sec,T 55.80 sec
5C84024	S	C01,P02,AR,ET 4.25 sec,T 55.75 sec
4E85024	S	C01,P02,AR,ET 4.30 sec,T 55.70 sec
9E86024	S	C01,P02,AR,ET 4.35 sec,T 55.65 sec
7087024	S	C01,P02,AR,ET 4.40 sec,T 55.60 sec
7A88024	S	C01,P02,AR,ET 4.45 sec,T 55.55 sec
6889024	S	C01,P02,AR,ET 4.50 sec,T 55.50 sec
D18A024	S	C01,P02,AR,ET 4.55 sec,T 55.45 sec
568B024	S	C01,P02,AR,ET 4.60 sec,T 55.40 sec
B18C024	S	C01,P02,AR,ET 4.65 sec,T 55.35 sec
E78D024	S	C01,P02,AR,ET 4.70 sec,T 55.30 sec
F68E024	S	C01,P02,AR,ET 4.75 sec,T 55.25 sec
8E8F024	S	C01,P02,AR,ET 4.80 sec,T 55.20 sec
8B90024	S	C01,P02,AR,ET 4.85 sec,T 55.15 sec
9991024	S	C01,P02,AR,ET 4.90 sec,T 55.10 sec
4992024	S	C01,P02,AR,ET 4.95 sec,T 55.05 sec
2093024	S	C01,P02,AR,ET 5.00 sec,T 55.00 sec
2994024	S	C01,P02,AR,ET 5.05 sec,T 54.95 sec
3B95024	S	C01,P02,AR,ET 5.10 sec,T 54.90 sec
EB96024	S	C01,P02,AR,ET 5.15 sec,T 54.85 sec
AD97024	S	C01,P02,AR,ET 5.20 sec,T 54.80 sec
4C98024	S	C01,P02,AR,ET 5.25 sec,T 54.75 sec
5E99024	S	C01,P02,AR,ET 5.30 sec,T 54.70 sec
E79A024	S	C01,P02,AR,ET 5.35 sec,T 54.65 sec
C89B024	S	C01,P02,AR,ET 5.40 sec,T 54.60 sec
8B9C024	S	C01,P02,AR,ET 5.45 sec,T 54.55 sec
DD9D024	S	C01,P02,AR,ET 5.50 sec,T 54.50 sec
CC9E024	S	C01,P02,AR,ET 5.55 sec,T 54.45 sec
4B9F024	S	C01,P02,AR,ET 5.60 sec,T 54.40 sec
BBA0024	S	C01,P02,AR,ET 5.65 sec,T 54.35 sec
A9A1024	S	C01,P02,AR,ET 5.70 sec,T 54.30 sec
79A2024	S	C01,P02,AR,ET 5.75 sec,T 54.25 sec
C0A3024	S	C01,P02,AR,ET 5.80 sec,T 54.20 sec
C7A4024	S	C01,P02,AR,ET 5.85 sec,T 54.15 sec
D5A5024	S	C01,P02,AR,ET 5.90 sec,T 54.10 sec
05A6024	S	C01,P02,AR,ET 5.95 sec,T 54.05 sec
34A7024	S	C01,P02,AR,ET 6.00 sec,T 54.00 sec
5AA8024	S	C01,P02,AR,ET 6.05 sec,T 53.95 sec
48A9024	S	C01,P02,AR,ET 6.10 sec,T 53.90 sec
F1AA024	S	C01,P02,AR,ET 6.15 sec,T 53.85 sec
76AB024	S	C01,P02,AR,ET 6.20 sec,T 53.80 sec
DEAC024	S	C01,P02,AR,ET 6.25 sec,T 53.75 sec
88AD024	S	C01,P02,AR,ET 6.30 sec,T 53.70 sec
99AE024	S	C01,P02,AR,ET 6.35 sec,T 53.65 sec
B6AF024	S	C01,P02,AR,ET 6.40 sec,T 53.60 sec
FAB0024	S	C01,P02,AR,ET 6.45 sec,T 53.55 sec
E8B1024	S	C01,P02,AR,ET 6.50 sec,T 53.50 sec
38B2024	S	C01,P02,AR,ET 6.55 sec,T 53.45 sec
7EB3024	S	C01,P02,AR,ET 6.60 sec,T 53.40 sec
DDB4024	S	C01,P02,AR,ET 6.65 sec,T 53.35 sec
CFB5024	S	C01,P02,AR,ET 6.70 sec,T 53.30 sec
1FB6024	S	C01,P02,AR,ET 6.75 sec,T 53.25 sec
A6B7024	S	C01,P02,AR,ET 6.80 sec,T 53.20 sec
ACB8024	S	C01,P02,AR,ET 6.85 sec,T 53.15 sec
BEB9024	S	C01,P02,AR,ET 6.90 sec,T 53.10 sec
07BA024	S	C01,P02,AR,ET 6.95 sec,T 53.05 sec
AFBB024	S	C01,P02,AR,ET 7.00 sec,T 53.00 sec
E2BC024	S	C01,P02,AR,ET 7.05 sec,T 52.95 sec
B4BD024	S	C01,P02,AR,ET 7.10 sec,T 52.90 sec
A5BE024	S	C01,P02,AR,ET 7.15 sec,T 52.85 sec
22BF024	S	C01,P02,AR,ET 7.20 sec,T 52.80 sec
CCC0024	S	C01,P02,AR,ET 7.25 sec,T 52.75 sec
DEC1024	S	C01,P02,AR,ET 7.30 sec,T 52.70 sec
0EC2024	S	C01,P02,AR,ET 7.35 sec,T 52.65 sec
E0C3024	S	C01,P02,AR,ET 7.40 sec,T 52.60 sec
E7C4024	S	C01,P02,AR,ET 7.45 sec,T 52.55 sec
F5C5024	S	C01,P02,AR,ET 7.50 sec,T 52.50 sec
25C6024	S	C01,P02,AR,ET 7.55 sec,T 52.45 sec
63C7024	S	C01,P02,AR,ET 7.60 sec,T 52.40 sec
CDC8024	S	C01,P02,AR,ET 7.65 sec,T 52.35 sec
DFC9024	S	C01,P02,AR,ET 7.70 sec,T 52.30 sec
66CA024	S	C01,P02,AR,ET 7.75 sec,T 52.25 sec
1ECB024	S	C01,P02,AR,ET 7.80 sec,T 52.20 sec
5DCC024	S	C01,P02,AR,ET 7.85 sec,T 52.15 sec
0BCD024	S	C01,P02,AR,ET 7.90 sec,T 52.10 sec
1ACE024	S	C01,P02,AR,ET 7.95 sec,T 52.05 sec
3DCF024	S	C01,P02,AR,ET 8.00 sec,T 52.00 sec
CBD0024	S	C01,P02,AR,ET 8.05 sec,T 51.95 sec
D9D1024	S	C01,P02,AR,ET 8.10 sec,T 51.90 sec
09D2024	S	C01,P02,AR,ET 8.15 sec,T 51.85 sec
4FD3024	S	C01,P02,AR,ET 8.20 sec,T 51.80 sec
A3D4024	S	C01,P02,AR,ET 8.25 sec,T 51.75 sec
B1D5024	S	C01,P02,AR,ET 8.30 sec,T 51.70 sec
61D6024	S	C01,P02,AR,ET 8.35 sec,T 51.65 sec
8FD7024	S	C01,P02,AR,ET 8.40 sec,T 51.60 sec
85D8024	S	C01,P02,AR,ET 8.45 sec,T 51.55 sec
97D9024	S	C01,P02,AR,ET 8.50 sec,T 51.50 sec
2EDA024	S	C01,P02,AR,ET 8.55 sec,T 51.45 sec
A9DB024	S	C01,P02,AR,ET 8.60 sec,T 51.40 sec
4EDC024	S	C01,P02,AR,ET 8.65 sec,T 51.35 sec
18DD024	S	C01,P02,AR,ET 8.70 sec,T 51.30 sec
09DE024	S	C01,P02,AR,ET 8.75 sec,T 51.25 sec
71DF024	S	C01,P02,AR,ET 8.80 sec,T 51.20 sec
74E0024	S	C01,P02,AR,ET 8.85 sec,T 51.15 sec
66E1024	S	C01,P02,AR,ET 8.90 sec,T 51.10 sec
B6E2024	S	C01,P02,AR,ET 8.95 sec,T 51.05 sec
DFE3024	S	C01,P02,AR,ET 9.00 sec,T 51.00 sec
D6E4024	S	C01,P02,AR,ET 9.05 sec,T 50.95 sec
C4E5024	S	C01,P02,AR,ET 9.10 sec,T 50.90 sec
14E6024	S	C01,P02,AR,ET 9.15 sec,T 50.85 sec
52E7024	S	C01,P02,AR,ET 9.20 sec,T 50.80 sec
B3E8024	S	C01,P02,AR,ET 9.25 sec,T 50.75 sec
A1E9024	S	C01,P02,AR,ET 9.30 sec,T 50.70 sec
18EA024	S	C01,P02,AR,ET 9.35 sec,T 50.65 sec
37EB024	S	C01,P02,AR,ET 9.40 sec,T 50.60 sec
74EC024	S	C01,P02,AR,ET 9.45 sec,T 50.55 sec
22ED024	S	C01,P02,AR,ET 9.50 sec,T 50.50 sec
33EE024	S	C01,P02,AR,ET 9.55 sec,T 50.45 sec
B4EF024	S	C01,P02,AR,ET 9.60 sec,T 50.40 sec
5CF0024	S	C01,P02,AR,ET 9.65 sec,T 50.35 sec
4EF1024	S	C01,P02,AR,ET 9.70 sec,T 50.30 sec
9EF2024	S	C01,P02,AR,ET 9.75 sec,T 50.25 sec
27F3024	S	C01,P02,AR,ET 9.80 sec,T 50.20 sec
20F4024	S	C01,P02,AR,ET 9.85 sec,T 50.15 sec
32F5024	S	C01,P02,AR,ET 9.90 sec,T 50.10 sec
E2F6024	S	C01,P02,AR,ET 9.95 sec,T 50.05 sec
A1F7025	S	C01,P02,AR,ET 10.00 sec,T 50.00 sec
B1F8025	S	C01,P02,AR,ET 10.05 sec,T 49.95 sec
E7F9025	S	C01,P02,AR,ET 10.10 sec,T 49.90 sec
E3FA025	S	C01,P02,AR,ET 10.15 sec,T 49.85 sec
A8FB025	S	C01,P02,AR,ET 10.20 sec,T 49.80 sec
44FC025	S	C01,P02,AR,ET 10.25 sec,T 49.75 sec
C9FD025	S	C01,P02,AR,ET 10.30 sec,T 49.70 sec
9CFE025	S	C01,P02,AR,ET 10.35 sec,T 49.65 sec
7FFF025	S	C01,P02,AR,ET 10.40 sec,T 49.60 sec
FB00025	S	C01,P02,AR,ET 10.45 sec,T 49.55 sec
AD01025	S	C01,P02,AR,ET 10.50 sec,T 49.50 sec
B102025	S	C01,P02,AR,ET 10.55 sec,T 49.45 sec
B303025	S	C01,P02,AR,ET 10.60 sec,T 49.40 sec
CB04025	S	C01,P02,AR,ET 10.65 sec,T 49.35 sec
9D05025	S	C01,P02,AR,ET 10.70 sec,T 49.30 sec
8106025	S	C01,P02,AR,ET 10.75 sec,T 49.25 sec
7C07025	S	C01,P02,AR,ET 10.80 sec,T 49.20 sec
8308025	S	C01,P02,AR,ET 10.85 sec,T 49.15 sec
D509025	S	C01,P02,AR,ET 10.90 sec,T 49.10 sec
D10A025	S	C01,P02,AR,ET 10.95 sec,T 49.05 sec
B50B025	S	C01,P02,AR,ET 11.00 sec,T 49.00 sec
BC0C025	S	C01,P02,AR,ET 11.05 sec,T 48.95 sec
310D025	S	C01,P02,AR,ET 11.10 sec,T 48.90 sec
640E025	S	C01,P02,AR,ET 11.15 sec,T 48.85 sec
2F0F025	S	C01,P02,AR,ET 11.20 sec,T 48.80 sec
1610025	S	C01,P02,AR,ET 11.25 sec,T 48.75 sec
4011025	S	C01,P02,AR,ET 11.30 sec,T 48.70 sec
5C12025	S	C01,P02,AR,ET 11.35 sec,T 48.65 sec
F613025	S	C01,P02,AR,ET 11.40 sec,T 48.60 sec
2A14025	S	C01,P02,AR,ET 11.45 sec,T 48.55 sec
7C15025	S	C01,P02,AR,ET 11.50 sec,T 48.50 sec
6016025	S	C01,P02,AR,ET 11.55 sec,T 48.45 sec
6217025	S	C01,P02,AR,ET 11.60 sec,T 48.40 sec
3918025	S	C01,P02,AR,ET 11.65 sec,T 48.35 sec
6F19025	S	C01,P02,AR,ET 11.70 sec,T 48.30 sec
6B1A025	S	C01,P02,AR,ET 11.75 sec,T 48.25 sec
DF1B025	S	C01,P02,AR,ET 11.80 sec,T 48.20 sec
D81C025	S	C01,P02,AR,ET 11.85 sec,T 48.15 sec
551D025	S	C01,P02,AR,ET 11.90 sec,T 48.10 sec
001E025	S	C01,P02,AR,ET 11.95 sec,T 48.05 sec
3C1F025	S	C01,P02,AR,ET 12.00 sec,T 48.00 sec
EA20025	S	C01,P02,AR,ET 12.05 sec,T 47.95 sec
BC21025	S	C01,P02,AR,ET 12.10 sec,T 47.90 sec
A022025	S	C01,P02,AR,ET 12.15 sec,T 47.85 sec
A223025	S	C01,P02,AR,ET 12.20 sec,T 47.80 sec
9524025	S	C01,P02,AR,ET 12.25 sec,T 47.75 sec
C325025	S	C01,P02,AR,ET 12.30 sec,T 47.70 sec
DF26025	S	C01,P02,AR,ET 12.35 sec,T 47.65 sec
7527025	S	C01,P02,AR,ET 12.40 sec,T 47.60 sec
8A28025	S	C01,P02,AR,ET 12.45 sec,T 47.55 sec
DC29025	S	C01,P02,AR,ET 12.50 sec,T 47.50 sec
D82A025	S	C01,P02,AR,ET 12.55 sec,T 47.45 sec
932B025	S	C01,P02,AR,ET 12.60 sec,T 47.40 sec
302C025	S	C01,P02,AR,ET 12.65 sec,T 47.35 sec
BD2D025	S	C01,P02,AR,ET 12.70 sec,T 47.30 sec
E82E025	S	C01,P02,AR,ET 12.75 sec,T 47.25 sec
5C2F025	S	C01,P02,AR,ET 12.80 sec,T 47.20 sec
8E30025	S	C01,P02,AR,ET 12.85 sec,T 47.15 sec
D831025	S	C01,P02,AR,ET 12.90 sec,T 47.10 sec
C432025	S	C01,P02,AR,ET 12.95 sec,T 47.05 sec
E933025	S	C01,P02,AR,ET 13.00 sec,T 47.00 sec
3B34025	S	C01,P02,AR,ET 13.05 sec,T 46.95 sec
6D35025	S	C01,P02,AR,ET 13.10 sec,T 46.90 sec
7136025	S	C01,P02,AR,ET 13.15 sec,T 46.85 sec
7337025	S	C01,P02,AR,ET 13.20 sec,T 46.80 sec
6738025	S	C01,P02,AR,ET 13.25 sec,T 46.75 sec
3139025	S	C01,P02,AR,ET 13.30 sec,T 46.70 sec
353A025	S	C01,P02,AR,ET 13.35 sec,T 46.65 sec
D63B025	S	C01,P02,AR,ET 13.40 sec,T 46.60 sec
D13C025	S	C01,P02,AR,ET 13.45 sec,T 46.55 sec
5C3D025	S	C01,P02,AR,ET 13.50 sec,T 46.50 sec
093E025	S	C01,P02,AR,ET 13.55 sec,T 46.45 sec
423F025	S	C01,P02,AR,ET 13.60 sec,T 46.40 sec
3B40025	S	C01,P02,AR,ET 13.65 sec,T 46.35 sec
6D41025	S	C01,P02,AR,ET 13.70 sec,T 46.30 sec
7142025	S	C01,P02,AR,ET 13.75 sec,T 46.25 sec
8C43025	S	C01,P02,AR,ET 13.80 sec,T 46.20 sec
5044025	S	C01,P02,AR,ET 13.85 sec,T 46.15 sec
0645025	S	C01,P02,AR,ET 13.90 sec,T 46.10 sec
1A46025	S	C01,P02,AR,ET 13.95 sec,T 46.05 sec
DF47025	S	C01,P02,AR,ET 14.00 sec,T 46.00 sec
0848025	S	C01,P02,AR,ET 14.05 sec,T 45.95 sec
5E49025	S	C01,P02,AR,ET 14.10 sec,T 45.90 sec
5A4A025	S	C01,P02,AR,ET 14.15 sec,T 45.85 sec
114B025	S	C01,P02,AR,ET 14.20 sec,T 45.80 sec
FD4C025	S	C01,P02,AR,ET 14.25 sec,T 45.75 sec
704D025	S	C01,P02,AR,ET 14.30 sec,T 45.70 sec
254E025	S	C01,P02,AR,ET 14.35 sec,T 45.65 sec
C64F025	S	C01,P02,AR,ET 14.40 sec,T 45.60 sec
1450025	S	C01,P02,AR,ET 14.45 sec,T 45.55 sec
4251025	S	C01,P02,AR,ET 14.50 sec,T 45.50 sec
5E52025	S	C01,P02,AR,ET 14.55 sec,T 45.45 sec
5C53025	S	C01,P02,AR,ET 14.60 sec,T 45.40 sec
