729C011	T	Start Streaming
16E1033	S	C01,P02,PRF,ET 3.40 sec,T 6.60 sec,P 2.998651 bar
8CE2033	S	C01,P02,PRF,ET 3.45 sec,T 6.55 sec,P 3.000604 bar
0DE3033	S	C01,P02,PRF,ET 3.50 sec,T 6.50 sec,P 3.002707 bar
07E4033	S	C01,P02,PRF,ET 3.55 sec,T 6.45 sec,P 3.003354 bar
6FE5033	S	C01,P02,PRF,ET 3.60 sec,T 6.40 sec,P 3.003968 bar
49E6033	S	C01,P02,PRF,ET 3.65 sec,T 6.35 sec,P 3.004480 bar
8EE7033	S	C01,P02,PRF,ET 3.70 sec,T 6.30 sec,P 3.005018 bar
5EE8033	S	C01,P02,PRF,ET 3.75 sec,T 6.25 sec,P 3.005399 bar
29E9033	S	C01,P02,PRF,ET 3.80 sec,T 6.20 sec,P 3.005839 bar
CEEA033	S	C01,P02,PRF,ET 3.85 sec,T 6.15 sec,P 3.006255 bar
2BEB033	S	C01,P02,PRF,ET 3.90 sec,T 6.10 sec,P 3.006631 bar
EAEC033	S	C01,P02,PRF,ET 3.95 sec,T 6.05 sec,P 3.007008 bar
6FED033	S	C01,P02,PRF,ET 4.00 sec,T 6.00 sec,P 3.007360 bar
47EE033	S	C01,P02,PRF,ET 4.05 sec,T 5.95 sec,P 3.007728 bar
3CEF033	S	C01,P02,PRF,ET 4.10 sec,T 5.90 sec,P 3.008053 bar
CDF0033	S	C01,P02,PRF,ET 4.15 sec,T 5.85 sec,P 3.008400 bar
A0F1033	S	C01,P02,PRF,ET 4.20 sec,T 5.80 sec,P 3.008724 bar
8BF2033	S	C01,P02,PRF,ET 4.25 sec,T 5.75 sec,P 3.009027 bar
93F3033	S	C01,P02,PRF,ET 4.30 sec,T 5.70 sec,P 3.009286 bar
F7F4033	S	C01,P02,PRF,ET 4.35 sec,T 5.65 sec,P 3.009589 bar
3CF5033	S	C01,P02,PRF,ET 4.40 sec,T 5.60 sec,P 3.009873 bar
5DF6033	S	C01,P02,PRF,ET 4.45 sec,T 5.55 sec,P 3.010164 bar
52F7033	S	C01,P02,PRF,ET 4.50 sec,T 5.50 sec,P 3.010454 bar
3BF8033	S	C01,P02,PRF,ET 4.55 sec,T 5.45 sec,P 3.010735 bar
22F9033	S	C01,P02,PRF,ET 4.60 sec,T 5.40 sec,P 3.010998 bar
9EFA033	S	C01,P02,PRF,ET 4.65 sec,T 5.35 sec,P 3.011257 bar
DBFB033	S	C01,P02,PRF,ET 4.70 sec,T 5.30 sec,P 3.011415 bar
67FC033	S	C01,P02,PRF,ET 4.75 sec,T 5.25 sec,P 3.011490 bar
BCFD033	S	C01,P02,PRF,ET 4.80 sec,T 5.20 sec,P 3.011443 bar
9AFE033	S	C01,P02,PRF,ET 4.85 sec,T 5.15 sec,P 3.011314 bar
B8FF033	S	C01,P02,PRF,ET 4.90 sec,T 5.10 sec,P 3.010996 bar
8100033	S	C01,P02,PRF,ET 4.95 sec,T 5.05 sec,P 3.010643 bar
7D01033	S	C01,P02,FGN,ET 5.00 sec,T 5.00 sec,P 3.010273 bar
BA02033	S	C01,P02,FGN,ET 5.05 sec,T 4.95 sec,P 3.009938 bar
7003033	S	C01,P02,FGN,ET 5.10 sec,T 4.90 sec,P 3.009604 bar
F904033	S	C01,P02,FGN,ET 5.15 sec,T 4.85 sec,P 3.009289 bar
2605033	S	C01,P02,FGN,ET 5.20 sec,T 4.80 sec,P 3.008992 bar
5406033	S	C01,P02,FGN,ET 5.25 sec,T 4.75 sec,P 3.008709 bar
C507033	S	C01,P02,FGN,ET 5.30 sec,T 4.70 sec,P 3.008420 bar
BF08033	S	C01,P02,FGN,ET 5.35 sec,T 4.65 sec,P 3.008131 bar
8409033	S	C01,P02,FGN,ET 5.40 sec,T 4.60 sec,P 3.007836 bar
FA0A033	S	C01,P02,FGN,ET 5.45 sec,T 4.55 sec,P 3.007546 bar
000B033	S	C01,P02,FGN,ET 5.50 sec,T 4.50 sec,P 3.007246 bar
450C033	S	C01,P02,FGN,ET 5.55 sec,T 4.45 sec,P 3.006944 bar
